Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1000,,,,-0.0625,-0.017578125,-1.03125,0.00002318754075186738,0.0001272104037960825,22.206401824951172,0.08203125,0,0,1.8216188997030258,0,0,0,0,0.05859375,,
0,1175,,,,-0.0625,-0.01953125,-1.0234375,0.002854968222863334,0.13801268725176652,22.202402114868164,0.134765625,470,0,2.99212059751153,0.14044716435093826,4.6939005221829815,0,0.04612537588443063,0.083984375,,
0.016,1175,,,,-0.0625,-0.046875,-1.0234375,0.0022765824865498907,0.13702680662234687,22.20560073852539,0.138671875,470,0,3.0792922899127007,0.11196185575923297,3.6359606434895184,0,0.0444994478345645,0.083984375,,
0.031,1175,,,,0,-0.03125,-1.0546875,0.0017556725413390617,0.1333165031782945,22.203201293945312,0.126953125,470,0,2.818765789270401,0.08631966403568152,3.0623212600442473,0,0.04729605548845604,0.083984375,,
0.048,1175,,,,-0.041015625,-0.0234375,-1.037109375,0.0026197370336493732,0.1319807939384356,22.204999923706055,0.13427734375,469,0,2.9816284077242017,0.1286827996725527,4.315856373624132,0,0.04426466879525509,0.083984375,,
0.073,1175,,,,-0.0625,-0.013671875,-1.015625,0.0037188511643662884,0.13050727342779764,22.206401824951172,0.123046875,469,0,2.7324283495545387,0.1826304366541078,6.6838142959496665,0.7145976093512352,0.047762377172332414,0.083984375,,
0.088,1175,,,,-0.03125,-0.03125,-1.05078125,0.004062857570755147,0.12023503332126399,22.205333709716797,0.1356336772441864,469,0,3.0117910654831803,0.199635181213749,6.628453862609544,0.6022737705361089,0.039921439006584854,0.083984375,,
0.10300499999988824,1175,,,,-0.046875,-0.048828125,-1.005859375,0.003977120434457867,0.12761323674143676,22.20600128173828,0.1416015625,469,0,3.1444044783711433,0.19551644700016202,6.217916567191857,0.6526982189960265,0.04058423069272012,0.08203125,,
0.11899999999976717,1175,,,,-0.01953125,-0.0625,-1.0390625,0.00327300559485698,0.13232002168189186,22.20560073852539,0.123046875,469,0,2.7323297783732414,0.16091986410313933,5.889474446929567,0.8222727655119271,0.04842754440888602,0.083984375,,
0.134,1175,,,,-0.0625,0.00390625,-1.021484375,0.0020547950826552636,0.13543667657489586,22.20800018310547,0.1328125,468,0,2.949500024318695,0.10076904077834058,3.416478723427616,0,0.04591852024350478,0.083984375,,
