geom_id,AR,lambda,twist,w_hover,ucb_total,ucb_hover,ucb_cruise,exploit_hover,explore_hover,exploit_cruise,explore_cruise,hover_mu,hover_std_raw,hover_lower95,hover_upper95,cruise_mu,cruise_std_raw,cruise_lower95,cruise_upper95,hover_alpha,hover_v,cruise_alpha,cruise_v,median_hover,median_cruise,kappa_hover_eff,kappa_cruise_eff,lambda95_hover,lambda95_cruise
G001,28.757,0.7198,-4.7324,0.85,2.16773,2.34193,1.18062,1.78756,0.554366,1.15053,0.0300921,0.681853,0.0658589,0.468934,0.894773,3.96815,0.264532,2.99274,4.94356,12.2222,21.5714,10.1587,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G001,28.757,0.7198,-4.7324,0.9,2.22579,2.34193,1.18062,1.78756,0.554366,1.15053,0.0300921,0.681853,0.0658589,0.468934,0.894773,3.96815,0.264532,2.99274,4.94356,12.2222,21.5714,10.1587,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G001,28.757,0.7198,-4.7324,0.95,2.28386,2.34193,1.18062,1.78756,0.554366,1.15053,0.0300921,0.681853,0.0658589,0.468934,0.894773,3.96815,0.264532,2.99274,4.94356,12.2222,21.5714,10.1587,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G001,28.757,0.7198,-4.7324,1,2.34193,2.34193,1.18062,1.78756,0.554366,1.15053,0.0300921,0.681853,0.0658589,0.468934,0.894773,3.96815,0.264532,2.99274,4.94356,12.2222,21.5714,10.1587,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0,1.14175,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.05,1.20293,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.1,1.26411,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.15,1.32529,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.2,1.38647,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.25,1.44765,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.3,1.50883,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.35,1.57001,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.4,1.63119,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.45,1.69237,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.5,1.75355,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.55,1.81473,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.6,1.87591,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.65,1.93709,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.7,1.99828,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.75,2.05946,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.8,2.12064,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.85,2.18182,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.9,2.243,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,0.95,2.30418,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G002,29.7489,0.8788,-7.7778,1,2.36536,2.36536,1.14175,1.94591,0.419444,1.11109,0.0306535,0.742256,0.0498301,0.581158,0.903355,3.83215,0.269467,2.83854,4.82576,12.5397,21.5714,13.6508,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0,1.38202,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.05,1.41872,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.1,1.45543,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.15,1.49213,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.2,1.52884,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.25,1.56555,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.3,1.60225,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.35,1.63896,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.4,1.67566,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.45,1.71237,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.5,1.74908,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
G003,19.9275,0.8914,-12.6112,0.55,1.78578,2.11614,1.38202,1.41024,0.705899,1.34926,0.0327574,0.537926,0.0838611,0.266806,0.809046,4.65357,0.287962,3.59177,5.71538,17.619,19.2222,15.2381,25,0.381444,3.44899,1.94656,0.208551,1.64947,1.88128
