k_id,AR,lambda,twist,alpha,v,predicted_performance,model_uncertainty_std,pred_std,95_conf_lower,95_conf_upper
LS_028_01,19.9275,0.8914,-12.6112,17.3303,11.416878879370874,0.2595751287083363,0.01834118579060609,0.01834118579060609,0.2002787159334338,0.3188715414832388
LS_028_01,19.9275,0.8914,-12.6112,17.3303,11.586082395654223,0.1638192653795092,0.04910813516263753,0.04910813516263753,0.0050543803576867385,0.32258415040133165
LS_028_01,19.9275,0.8914,-12.6112,17.3303,11.755285911937573,0.04690282992441963,0.11835045858572169,0.11835045858572169,-0.33572006722720743,0.4295257270760467
LS_028_01,19.9275,0.8914,-12.6112,17.3303,11.924489428220923,-0.04781833177681838,0.18851272810395248,0.18851272810395248,-0.6572733946386807,0.561636731085044
LS_028_01,19.9275,0.8914,-12.6112,17.3303,12.093692944504273,-0.0819817657215951,0.24166740407604476,0.24166740407604476,-0.863284038646162,0.6993205072029718
LS_028_01,19.9275,0.8914,-12.6112,17.3303,12.262896460787623,-0.04216553023132452,0.2668796174671535,0.2668796174671535,-0.9049780080726209,0.8206469476099718
LS_028_01,19.9275,0.8914,-12.6112,17.3303,12.432099977070973,0.053666943453657856,0.2556831957651409,0.2556831957651409,-0.7729478942555348,0.8802817811628505
LS_028_01,19.9275,0.8914,-12.6112,17.3303,12.601303493354322,0.16802260037997652,0.2068452633984847,0.2068452633984847,-0.5007009085052512,0.8367461092652042
LS_028_01,19.9275,0.8914,-12.6112,17.3303,12.770507009637672,0.2646689620965246,0.13713515243582708,0.13713515243582708,-0.17868419388910423,0.7080221180821533
LS_028_01,19.9275,0.8914,-12.6112,17.3303,12.939710525921022,0.32495728034004423,0.0837454021237207,0.0837454021237207,0.05421132154431013,0.5957032391357784
LS_028_01,19.9275,0.8914,-12.6112,17.3303,13.108914042204372,0.34902838843995854,0.06785433020109902,0.06785433020109902,0.129657709896936,0.568399066982981
LS_028_01,19.9275,0.8914,-12.6112,17.3303,13.278117558487722,0.3426667905782388,0.05652638395741774,0.05652638395741774,0.15991896641474407,0.5254146147417336
LS_028_01,19.9275,0.8914,-12.6112,17.3303,13.447321074771072,0.3072184754307812,0.03519767717332868,0.03519767717332868,0.1934256150227905,0.42101133583877187
LS_028_01,19.9275,0.8914,-12.6112,17.3303,13.616524591054421,0.24441194893396423,0.021706289233879173,0.021706289233879173,0.17423627431194794,0.3145876235559805
LS_028_01,19.9275,0.8914,-12.6112,17.3303,13.785728107337771,0.16378697966354006,0.06571581129742883,0.06571581129742883,-0.048669941989025245,0.37624390131610536
LS_028_01,19.9275,0.8914,-12.6112,17.3303,13.954931623621121,0.0821406780999685,0.12449449943697247,0.12449449943697247,-0.3203456884358587,0.4846270446357957
LS_028_01,19.9275,0.8914,-12.6112,17.3303,14.124135139904471,0.023501859091596078,0.17941342379679057,0.17941342379679057,-0.5565354708972767,0.6035391890804689
LS_028_01,19.9275,0.8914,-12.6112,17.3303,14.29333865618782,0.017452338456429795,0.21710591096185977,0.21710591096185977,-0.6844434854689357,0.7193481623817953
LS_028_01,19.9275,0.8914,-12.6112,17.3303,14.46254217247117,0.07963187698530505,0.22042289527520478,0.22042289527520478,-0.6329876413215175,0.7922513952921276
LS_028_01,19.9275,0.8914,-12.6112,17.3303,14.63174568875452,0.18765560979714602,0.18263411190736678,0.18263411190736678,-0.4027940923144585,0.7781053119087505
LS_028_01,19.9275,0.8914,-12.6112,17.3303,14.80094920503787,0.28990329564703743,0.1230296224069972,0.1230296224069972,-0.10784717463728483,0.6876537659313597
LS_028_01,19.9275,0.8914,-12.6112,17.3303,14.970152721321218,0.3465247710094993,0.08220299483171595,0.08220299483171595,0.08076536109331345,0.6122841809256852
LS_028_01,19.9275,0.8914,-12.6112,17.3303,15.139356237604568,0.35503717749811603,0.0725151113462453,0.0725151113462453,0.12059835637198824,0.5894759986242438
LS_028_01,19.9275,0.8914,-12.6112,17.3303,15.308559753887918,0.33469518227259343,0.06074921256663368,0.06074921256663368,0.13829510077151783,0.531095263773669
LS_028_01,19.9275,0.8914,-12.6112,17.3303,15.477763270171268,0.30086772130885375,0.040112297180977606,0.040112297180977606,0.17118606614504073,0.4305493764726668
LS_028_01,19.9275,0.8914,-12.6112,17.3303,15.646966786454618,0.2625084582639454,0.020282710483902944,0.020282710483902944,0.19693516399726058,0.32808175253063027
LS_028_01,19.9275,0.8914,-12.6112,17.3303,15.816170302737968,0.23056143627817072,0.05456848676208813,0.05456848676208813,0.05414342533343475,0.4069794472229067
LS_028_01,19.9275,0.8914,-12.6112,17.3303,15.985373819021317,0.21699166138722914,0.10293027961746681,0.10293027961746681,-0.11577833597899667,0.549761658753455
LS_028_01,19.9275,0.8914,-12.6112,17.3303,16.154577335304666,0.23080510130165965,0.13089161453455356,0.13089161453455356,-0.1923629148137171,0.6539731174170365
LS_028_01,19.9275,0.8914,-12.6112,17.3303,16.32378085158802,0.27539521710399706,0.128076066097484,0.128076066097484,-0.13867022929651884,0.689460663504513
LS_028_01,19.9275,0.8914,-12.6112,17.3303,16.492984367871365,0.34026982168219844,0.10575487690437355,0.10575487690437355,-0.001632000014222812,0.6821716433786197
LS_028_01,19.9275,0.8914,-12.6112,17.3303,16.66218788415472,0.3980652085433386,0.08901381023662294,0.08901381023662294,0.11028667040972445,0.6858437466769527
LS_028_01,19.9275,0.8914,-12.6112,17.3303,16.831391400438065,0.42108636146505074,0.09036720338027257,0.09036720338027257,0.12893235058890135,0.7132403723412002
