ground_truth,prediction,model_uncertainty_std,measurement_variance
0.29985685889640235,0.16471967852428526,0.023383894092982967,0.00019201267513507518
0.2792116998696779,0.18404639065492034,0.025411260470598756,0.00010699600010115714
0.2806903111595664,0.23723740121786757,0.029433550220261322,9.902989922583754e-05
0.3389778543751162,0.32277874620681146,0.030216767608083932,0.0001725893453278966
0.6537625442605826,0.637136045870248,0.033432382246922285,0.0023302266057657543
0.5548914917296388,0.6622742321923527,0.03692314568307417,0.0016650614689846283
0.34962258910934446,0.38947067462812435,0.03801609662110477,0.00017548719862953434
0.31762774869997884,0.37663629317120406,0.0347326162572404,0.00011139767834495318
0.28945330197356567,0.31434918058871725,0.038595250859483114,8.431983528539554e-05
0.3312791574632748,0.3879869556178665,0.04636628537385955,9.26071650350848e-05
0.3554837962483876,0.4039457190746247,0.05792779684369156,0.00019268607721604927
0.3674181400622821,0.3913671797591204,0.06959400053512599,0.00026308426312827337
0.612873632133161,0.47427224366908516,0.057131571002340946,0.0016882716468171626
0.40324545085926217,0.37706277983803194,0.06910751419981723,0.0003877016678275281
0.4211250044924312,0.34304826145105377,0.04333661735132766,0.0006086755069289432
0.4458342278870983,0.26895219625387606,0.03314866894614655,0.0008915394214109492
0.16733382687506543,0.004992802603871027,0.05209871902293581,1.5184649850159428e-05
0.16742663138733357,0.05978521787850832,0.08682460662270157,7.463031808718953e-06
0.19198644883772326,0.06995307817146945,0.09226283812753147,7.183974465549261e-06
0.1886168399484715,0.06980913275398393,0.10676207603552637,8.643162068706437e-06
0.2016105455639705,0.05908263108951728,0.11869190168183694,1.1035873557633687e-05
0.1613161126964037,0.20732182475367805,0.1321413633458815,6.5496880791375435e-06
0.2875489888195943,0.17338141034255283,0.14190512535026076,4.817199937292155e-05
0.19182778714225227,0.16368046642327483,0.1334657674065767,1.0652260534454612e-05
0.5186520618326556,0.2945552286625395,0.14097513898357666,0.0004664062939833933
0.2812879392325226,0.2435733378639185,0.15556234711564718,5.1750519863134485e-05
0.35641324734201896,0.30990558735050777,0.14650596057035703,0.0001304732845550576
0.28296614424807826,0.406695163027162,0.10617487390322024,6.245999453672966e-05
0.2288889336347286,0.18497693734301057,0.10619080934015272,2.252194642633225e-05
0.26210332394396985,0.33636076804097187,0.06497122524972092,5.1714903353807495e-05
