k_id,esc_signal,n_reps,T_method,T_loc,T_std_raw,T_skew,T_kurt,T_var_boot,T_se_boot,Q_method,Q_loc,Q_std_raw,Q_skew,Q_kurt,Q_var_boot,Q_se_boot,RPM_method,RPM_loc,RPM_std_raw,RPM_skew,RPM_kurt,RPM_var_boot,RPM_se_boot,VIB_method,VIB_loc,VIB_std_raw,VIB_skew,VIB_kurt,VIB_var_boot,VIB_se_boot,N_method,N_skew,N_kurt,D_method,D_skew,D_kurt,eta_point,eta_var_boot,eta_se_boot,v,neg_T_frac
LS_026_01,1175.0,1000,mean,0.07462071759723109,0.005309514967230469,-0.16623425481710155,-0.0925216697482214,2.8344752540271545e-08,0.00016835899898808956,mean,0.0021446241011996107,0.0032046402780826566,0.1029086777192086,-0.7364281590679069,1.0171843378360614e-08,0.00010085555700287721,trim20,478.815,1.8935745627317198,1.4171574773443212,2.004154125179374,0.0033766634161939515,0.05810906483668406,trim10,0.0716845703125,0.0012199844214979478,-0.44204125989291215,0.27060539714477816,1.4105447181113476e-09,3.7557219254243884e-05,mean,-0.06555024961449486,-0.1426747608193497,mean,0.10462047253360972,-0.7305696718813568,0.29985685889640235,0.00019201267513507518,0.0138568638275432,11.532519595952575,0.0
LS_026_01,1185.7894736842106,1000,mean,0.1192713542148625,0.00502822689560077,0.14797958604502592,0.10836120969940222,2.748404043818777e-08,0.0001657831126447678,mean,0.003909902729976763,0.004560317861332465,0.02798567970544641,-0.8368131599313089,2.0455839680317318e-08,0.00014302391296673895,median,570.0,3.198497989586579,-22.78239457971305,630.5949258694575,0.0,0.0,mean,0.19931640625,0.0025979273745884088,-0.06616749267500821,-0.22226838122848047,6.4184590741558484e-09,8.011528614537832e-05,mean,0.2137207591659522,0.16838623106876183,mean,0.028331669220263554,-0.8357921232170962,0.2792116998696779,0.00010699600010115714,0.01034388708857348,13.728759896187396,0.0
LS_026_01,1196.578947368421,1000,mean,0.16187389425195656,0.010956456025418677,-0.01721863424137306,-0.3191672195417241,1.2229370572836851e-07,0.00034970516971924865,mean,0.005324432498523194,0.005831504825515774,0.03307641855908318,-0.540396127681789,3.530167194452028e-08,0.0001878873916592603,median,659.0,3.5959598060777775,-22.942593582603827,650.3865259783695,0.0,0.0,trim10,0.09303955078125,0.003228729936887717,0.4068826727162429,-0.18304517791746422,1.1185065636763708e-08,0.00010575947067172618,mean,0.06804238613284758,-0.31987952165758715,mean,0.032668968735405014,-0.5413600901761728,0.2806903111595664,9.902989922583754e-05,0.009951376750271168,15.87237328348683,0.0
LS_026_01,1207.3684210526317,1000,mean,0.21653984831637796,0.019333192395787912,-0.3314621234130089,-0.9134560387718631,3.838770940812423e-07,0.0006195781581699296,mean,0.006076725779740336,0.007047093946144951,0.02514419459028271,-0.31476252999961485,5.0437198808879136e-08,0.0002245822762572308,median,740.0,1.8872853111932613,2.6112724320094984,9.256329223237014,0.0,0.0,trim10,0.08948974609375,0.0016826897295627544,0.3686723150330866,0.19566793960379236,2.8907553211704844e-09,5.3765744867624447e-05,mean,-0.2650929582160995,-0.9661762197359871,mean,0.02538672781904312,-0.3152791023899204,0.3389778543751162,0.0001725893453278966,0.013137326414757936,17.823302321366093,0.0
LS_026_01,1218.157894736842,1000,mean,0.25810299481104126,0.03963879295643886,-0.1945214019070562,-0.7469243051533647,1.477385225237321e-06,0.0012154773651686488,mean,0.003722953590940925,0.008752422705894386,-0.18154653177149335,-0.011014772126136219,7.440362854134173e-08,0.000272770285297614,trim10,820.47625,1.2497363085230586,0.7597448688611913,0.5280402261505128,0.0017760359969343166,0.042143042093972245,trim10,0.10816162109375,0.0024483708686666604,0.7268480458474705,0.39601801614824117,6.4305507325314415e-09,8.019071475259115e-05,mean,-0.052282566652242866,-0.8087201123858239,mean,-0.1816428820471836,-0.012788551046475138,0.6537625442605826,0.0023302266057657543,0.04827242075725802,19.761616555744254,0.0
LS_026_01,1228.9473684210527,1000,trim10,0.3003452008672955,0.05371963644312317,0.8463969419399197,-0.29757120806075443,3.3576236509382756e-06,0.001832381960983647,mean,0.004871188769747638,0.010727811164926203,0.09098889257157046,0.14450288145003887,1.1318984979485204e-07,0.0003364369923103761,median,901.0,4.833432120767401,-24.59899456697737,707.0696232760066,0.0,0.0,mean,0.133015625,0.0038228474338307165,-0.1628161086635209,-0.512298608629977,1.3947486453586137e-08,0.00011809947694035794,trim20,0.9675840130993179,-0.05699361757711108,mean,0.09062033436452889,0.14185939829925998,0.5548914917296388,0.0016650614689846283,0.040805164734193,21.701074853447093,0.0
LS_026_01,1239.7368421052631,1000,mean,0.38234780929168655,0.0894969254684295,0.2915113242977268,-1.190010116392086,7.610691428382403e-06,0.0027587481632766705,mean,0.010585006139113425,0.01255499488524422,0.08263164004676475,0.4204405392653925,1.4317550724158893e-07,0.000378385395121943,median,984.0,6.347159240985721,-19.457064207445097,429.64657139061796,0.12432332332332335,0.3525951266301384,mean,0.112935546875,0.0022448128072880317,0.1990394579633953,-0.6849393071426042,5.022087971608099e-09,7.086669155257708e-05,mean,0.4157244794393374,-1.0893679006132349,mean,0.08205079331930887,0.4222452112543804,0.34962258910934446,0.00017548719862953434,0.013247158134088019,23.7001749786814,0.0
LS_026_01,1250.5263157894738,1000,mean,0.4476172418684157,0.12601059932175165,0.05529823515188695,-1.2477548111161363,1.651755783412953e-05,0.004064179847660476,trim10,0.013800540357932638,0.013764107613466523,0.043121624243395704,0.5049783640583749,1.8128066492263238e-07,0.00042577067175021856,trim10,1062.0375,1.4689090147771895,0.6665583052571808,1.4544649095940967,0.0024146395833334407,0.04913898231886209,trim10,0.1563232421875,0.003497788524714741,-0.24832076533907455,0.6117548559282606,1.0947011517094259e-08,0.00010462796718418197,mean,0.21402807312371827,-1.2060392019034565,trim10,0.043207630406910426,0.5042040976357631,0.31762774869997884,0.00011139767834495318,0.010554509858110569,25.579750593415998,0.0
LS_026_01,1261.3157894736842,1000,mean,0.49118291263526814,0.15900803104293806,0.07097855309879188,-1.0968629407412287,2.6543145085902985e-05,0.005152003987372582,trim10,0.01657842552199135,0.015673596113811354,-0.10650484486920787,0.5434479493946083,2.3354003457603122e-07,0.00048325980028969014,median,1126.0,7.317342037549872,-27.895335086110627,833.7633548866311,0.0,0.0,mean,0.202755859375,0.004357814170755457,0.021997132703753475,-0.2029367887556055,1.893279587876459e-08,0.0001375964966078882,mean,0.2893351703014032,-1.0400130484505226,trim10,-0.10552430022634776,0.5414282485975335,0.28945330197356567,8.431983528539554e-05,0.009182583257743735,27.120322180889488,0.0
LS_026_01,1272.1052631578948,1000,mean,0.5882181864717534,0.20874384488740685,-0.0272627084579494,-0.9774884583918002,4.418770312553885e-05,0.006647383178780868,mean,0.017989278689244183,0.015961415144702423,0.09529637614825116,-0.06423401792219119,2.7386568325737383e-07,0.0005233217779314882,trim20,1197.4783333333332,1.8722564846581102,1.0085095953817669,2.741396659622384,0.002749923454009508,0.05243971256604586,mean,0.212255859375,0.0032342459196372463,-0.09846837445151355,-0.2380295986149914,1.1067941564458726e-08,0.00010520428491491554,mean,0.25022382100162427,-0.9656703663677124,mean,0.0957998563244025,-0.06844908942683992,0.3312791574632748,9.26071650350848e-05,0.00962326166302698,28.841916700385944,0.0
