mode,R2,RMSE,MAE,Spearman,Coverage@1σ,Coverage@1.96σ,NLPD,Std(StdResid)
hover,,0.11714658755160563,0.08456322099747081,0.6535354557583838,0.5884861407249466,0.8550106609808102,-0.18820385716594398,1.7467328097350723
cruise,0.9566227031126899,0.5015398889745237,0.36453652561998373,0.9232068001863066,0.40707964601769914,0.7522123893805309,1.9403476988431756,2.229534859324625
