k_id,AR,lambda,twist,alpha,v,predicted_performance,model_uncertainty_std,pred_std,95_conf_lower,95_conf_upper
CR_101,18.925,0.5126,-3.2208,5.0,22.624,3.91525896792785,0.3421503844966807,0.3421503844966807,2.6536456694563433,5.176872266399357
CR_101,18.925,0.5126,-3.2208,5.050251256281407,22.624,3.950330995637492,0.34117876735506525,0.34117876735506525,2.6923003472591254,5.208361644015859
CR_101,18.925,0.5126,-3.2208,5.100502512562814,22.624,3.9850762064080048,0.34022557628057964,0.34022557628057964,2.7305602655677412,5.239592147248269
CR_101,18.925,0.5126,-3.2208,5.150753768844221,22.624,4.0194904892727426,0.3392905177929723,0.3392905177929723,2.7684223955671516,5.2705585829783335
CR_101,18.925,0.5126,-3.2208,5.201005025125628,22.624,4.053569826599683,0.33837331530796877,0.33837331530796877,2.805883739476297,5.30125591372307
CR_101,18.925,0.5126,-3.2208,5.251256281407035,22.624,4.087310295158084,0.33747370887082623,0.33747370887082623,2.842941332597218,5.3316792577189505
CR_101,18.925,0.5126,-3.2208,5.301507537688442,22.624,4.120708067148927,0.33659145486116326,0.33659145486116326,2.879592245433885,5.361823888863968
CR_101,18.925,0.5126,-3.2208,5.351758793969849,22.624,4.153759411199217,0.3357263256706055,0.3357263256706055,2.915833585875116,5.391685236523317
CR_101,18.925,0.5126,-3.2208,5.402010050251256,22.624,4.186460693319751,0.3348781093536124,0.3348781093536124,2.9516625014398543,5.421258885199649
CR_101,18.925,0.5126,-3.2208,5.452261306532663,22.624,4.218808377826211,0.33404660925282986,0.33404660925282986,2.987076181579699,5.450540574072724
CR_101,18.925,0.5126,-3.2208,5.50251256281407,22.624,4.250799028222482,0.3332316435997205,0.3332316435997205,3.0220718600348233,5.4795261964101405
CR_101,18.925,0.5126,-3.2208,5.552763819095477,22.624,4.282429308046138,0.3324330450914621,0.3324330450914621,3.056646817239569,5.508211798852708
CR_101,18.925,0.5126,-3.2208,5.603015075376884,22.624,4.3136959816760365,0.33165066044533015,0.33165066044533015,3.09079838277316,5.536593580578913
CR_101,18.925,0.5126,-3.2208,5.653266331658291,22.624,4.344595915102135,0.33088434993120536,0.33088434993120536,3.1245239378533185,5.564667892350952
CR_101,18.925,0.5126,-3.2208,5.703517587939698,22.624,4.375126076654412,0.3301339868836851,0.3301339868836851,3.157820917864168,5.592431235444657
CR_101,18.925,0.5126,-3.2208,5.7537688442211055,22.624,4.4052835376954995,0.3293994571946213,0.3293994571946213,3.1906868149200447,5.619880260470954
CR_101,18.925,0.5126,-3.2208,5.8040201005025125,22.624,4.435065473271613,0.32868065878725977,0.32868065878725977,3.2231191804554333,5.647011766087792
CR_101,18.925,0.5126,-3.2208,5.8542713567839195,22.624,4.4644691627246065,0.32797750107308293,0.32797750107308293,3.2551156278398063,5.673822697609406
CR_101,18.925,0.5126,-3.2208,5.9045226130653266,22.624,4.493491990265001,0.32728990439229716,0.32728990439229716,3.286673835013751,5.7003101455162515
CR_101,18.925,0.5126,-3.2208,5.954773869346734,22.624,4.522131445503378,0.3266177994397194,0.3266177994397194,3.3177915471372925,5.726471343869464
CR_101,18.925,0.5126,-3.2208,6.005025125628141,22.624,4.5503851239421405,0.3259611266764654,0.3259611266764654,3.348466579250943,5.752303668633338
CR_101,18.925,0.5126,-3.2208,6.055276381909548,22.624,4.5782507274269175,0.3253198357290912,0.3253198357290912,3.3786968189426525,5.777804635911183
CR_101,18.925,0.5126,-3.2208,6.105527638190955,22.624,4.60572606455649,0.32469388477749367,0.32469388477749367,3.408480229014735,5.802971900098244
CR_101,18.925,0.5126,-3.2208,6.155778894472362,22.624,4.632809051052851,0.32408323993231763,0.32408323993231763,3.4378148501496204,5.827803251956081
CR_101,18.925,0.5126,-3.2208,6.206030150753769,22.624,4.659497710088946,0.3234878746037475,0.3234878746037475,3.466698803565051,5.852296616612841
CR_101,18.925,0.5126,-3.2208,6.256281407035176,22.624,4.6857901725765645,0.3229077688623669,0.3229077688623669,3.4951302936586797,5.87645005149445
CR_101,18.925,0.5126,-3.2208,6.306532663316583,22.624,4.711684677411457,0.3223429087937529,0.3223429087937529,3.523107610632998,5.9002617441899154
CR_101,18.925,0.5126,-3.2208,6.35678391959799,22.624,4.737179571678591,0.3217932858480531,0.3217932858480531,3.550629133098899,5.923730010258283
CR_101,18.925,0.5126,-3.2208,6.407035175879397,22.624,4.762273310815141,0.3212588961857062,0.3212588961857062,3.577693330651196,5.946853290979086
CR_101,18.925,0.5126,-3.2208,6.457286432160804,22.624,4.786964458731799,0.3207397400206113,0.3207397400206113,3.60429876641187,5.969630151051729
CR_101,18.925,0.5126,-3.2208,6.507537688442211,22.624,4.811251687893285,0.3202358209624575,0.3202358209624575,3.6304440995356098,5.99205927625096
CR_101,18.925,0.5126,-3.2208,6.557788944723618,22.624,4.835133779356698,0.3197471453591653,0.3197471453591653,3.656128087672788,6.014139471040608
CR_101,18.925,0.5126,-3.2208,6.608040201005025,22.624,4.8586096227686,0.3192737216407638,0.3192737216407638,3.6813495893858654,6.035869656151334
CR_101,18.925,0.5126,-3.2208,6.658291457286432,22.624,4.8816782163211485,0.3188155596666411,0.3188155596666411,3.706107566512416,6.057248866129881
CR_101,18.925,0.5126,-3.2208,6.708542713567839,22.624,4.904338666665532,0.31837267007657816,0.31837267007657816,3.7304010864714954,6.078276246859568
CR_101,18.925,0.5126,-3.2208,6.758793969849246,22.624,4.926590188785532,0.3179450636479504,0.3179450636479504,3.7542293245074,6.098951053063664
