geom_id,AR,lambda,twist,n_hover_steps,n_cruise_steps,meas_hover_alpha,meas_hover_v,meas_hover_mu,meas_hover_var,meas_cruise_alpha,meas_cruise_v,meas_cruise_mu,pred_hover_alpha,pred_hover_v,pred_hover_mu,pred_hover_std,pred_hover_lower95,pred_hover_upper95,pred_cruise_alpha,pred_cruise_v,pred_cruise_mu,pred_cruise_std,pred_cruise_lower95,pred_cruise_upper95,pred_hover_mu_norm,pred_cruise_mu_norm,meas_hover_mu_norm,meas_cruise_mu_norm
G084,24.3469,0.748139,-4.06161,0,1,,,,,12.6974,21.1766,3.91674,11.9048,21.5714,0.685742,0.0660586,0.472177,0.899307,9.52381,25,4.47825,0.260529,3.5176,5.4389,1.79775,1.29843,,1.13562
G085,22.6948,0.802566,-13.9698,0,1,,,,,1.50001,23.8214,-3.536,16.6667,23.9206,0.61204,0.070233,0.384979,0.839101,15.5556,25,4.49294,0.270293,3.49629,5.48959,1.60454,1.30268,,-1.02523
G086,22.5753,0.534982,-12.4457,0,1,,,,,2.2937,17.584,-1.90304,16.9841,23.9206,0.685169,0.0633343,0.480412,0.889927,13.0159,25,4.70933,0.277218,3.68714,5.73152,1.79625,1.36543,,-0.551769
G087,20.4064,0.889978,-4.93533,0,1,,,,,4.47153,15.8022,2.26871,11.9048,21.5714,0.744848,0.0582158,0.556638,0.933057,10.1587,25,4.52528,0.275484,3.50949,5.54108,1.95271,1.31206,,0.65779
G088,25.8868,0.793068,-14.1255,0,1,,,,,4.8094,20.1388,-1.26032,16.8254,23.9206,0.636035,0.068053,0.416022,0.856048,15.5556,25,4.19133,0.266784,3.20761,5.17504,1.66744,1.21523,,-0.365417
G089,21.7664,0.954557,-8.77717,0,1,,,,,11.9763,21.324,4.44199,12.381,21.5714,0.69894,0.0627179,0.496176,0.901705,13.9683,25,4.34375,0.267618,3.35696,5.33055,1.83236,1.25943,,1.28791
G090,19.6117,0.718382,-10.8766,0,1,,,,,16.3217,18.3178,4.60822,12.6984,21.5714,0.611888,0.0573584,0.42645,0.797326,13.0159,25,4.77701,0.268789,3.78591,5.76812,1.60414,1.38505,,1.33611
G091,24.9842,0.573414,-5.75311,0,1,,,,,2.13315,22.2018,-0.162646,16.3492,38.6032,0.719848,0.0799539,0.46136,0.978336,9.84127,25,4.74892,0.263209,3.77839,5.71945,1.88717,1.3769,,-0.0471575
G092,30.2368,0.665462,-13.1575,0,1,,,,,9.72422,21.5453,2.83143,16.9841,23.9206,0.709851,0.049104,0.551099,0.868602,14.2857,25,3.67148,0.283727,2.62529,4.71767,1.86096,1.06451,,0.820945
G093,20.7294,0.828573,-4.74945,0,1,,,,,15.2451,24.0737,3.66055,11.9048,21.5714,0.734398,0.0591403,0.5432,0.925596,9.84127,25,4.67212,0.266275,3.69028,5.65396,1.92531,1.35464,,1.06134
