k_id,v,alpha,measured_performance,measurement_variance,meas_95_conf_lower,meas_95_conf_upper
LS_028_01,11.416878879370874,17.3303,0.28253405437889684,1.4859606179754744e-05,0.27497861507332727,0.2900894936844664
LS_028_01,13.519095238474568,17.3303,0.2849013270602108,1.3002487095936748e-06,0.2826663694671511,0.2871362846532705
LS_028_01,15.585835598869915,17.3303,0.27703364943428394,6.754427402795772e-07,0.27542281709320743,0.27864448177536044
LS_028_01,17.504801113160465,17.3303,0.3070017019922032,1.718916286747968e-06,0.3044319960154092,0.30957140796899724
LS_028_01,19.41294820408253,17.3303,1.2824867947014755,0.00019706209391833523,1.2549725485733936,1.3100010408295575
LS_028_01,21.253525309345942,17.3303,0.3761653937061684,3.566137252543835e-06,0.3724640867924726,0.3798667006198642
LS_028_01,23.218464105130966,17.3303,0.37286255271075325,1.6810960368189075e-06,0.37032127379354574,0.37540383162796076
LS_028_01,25.073050968300137,17.3303,0.3826370609515782,9.948280583342054e-07,0.380682136024913,0.38459198587824334
LS_028_01,26.56635467630649,17.3303,0.38874139652545664,9.800583734967963e-07,0.38680103773192764,0.39068175531898564
LS_028_01,28.204171646377965,17.3303,0.4555351415781569,1.880362949856137e-06,0.45284746557309835,0.4582228175832154
LS_028_01,29.986501878514574,17.3303,0.4525095034084544,2.013458444628852e-06,0.44972833423688535,0.4552906725800235
LS_028_01,31.81700319800623,17.3303,0.4816375604160696,3.6366908138737177e-06,0.4778998189281417,0.48537530190399747
LS_028_01,33.40664908072266,17.3303,0.4524519155654843,2.892752965246034e-06,0.44911832893974785,0.45578550219122077
LS_028_01,35.12988944570375,17.3303,0.4435160549987722,1.7656232221169736e-06,0.44091167058588604,0.4461204394116584
LS_028_01,36.72075967689046,17.3303,0.4778790142521369,2.779904749089522e-06,0.47461109716565775,0.4811469313386161
LS_028_01,38.3200999909371,17.3303,0.5514942270094046,7.524385667105726e-06,0.5461178267286635,0.5568706272901458
LS_028_01,39.9820025046861,17.3303,0.4128262390385822,6.1908679612260574e-06,0.4079494738853432,0.41770300419182116
LS_028_01,41.595733931080055,17.3303,0.5000476979781153,2.2950520934481755e-05,0.49065798439239267,0.509437411563838
LS_028_01,43.20946535747401,17.3303,0.4883969809635734,0.00015039199802470752,0.4643606355755633,0.5124333263515836
LS_028_01,45.088378619757485,17.3303,0.4962249966679407,4.118140461668197e-05,0.4836471397767431,0.5088028535591382
